,account_id,assists,champion_id,champion_name,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,game_version,goldEarned,kda,kills,magicDamageDealtToChampions,match_id,match_rank_score,max_time,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,participantId,physicalDamageDealtToChampions,timeCCingOthers,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,trueDamageDealtToChampions,true_role,wardsKilled,wardsPlaced,visionScore,win,team_id,playerTop,playerJung,playerMid,playerADC,playerSupp,oppTop,oppJung,oppMid,oppADC,oppSupp
0,SLztD3Uo6O6JW4d4qfvs66wMTqToBMyWpy7_ZZv8NoeiOZ4,3,150,Gnar,3267,2179,31902,3,9.13.280.4632,9383,4.0,3,1442,4110284341,1,1903,0,0,0,5,17072,38,18514,32937,1143,155,0,JUNGLE,1,10,17,0,100,Vladimir,Gnar,Vel'Koz,Varus,Yuumi,Teemo,Pantheon,Xerath,Draven,Soraka
1,SLztD3Uo6O6JW4d4qfvs66wMTqToBMyWpy7_ZZv8NoeiOZ4,3,5,Xin Zhao,7918,1801,9330,8,9.13.280.4632,6704,1.0,3,401,4109296480,2,1406,54,0,37,1,8724,17,9993,21753,6753,15,868,JUNGLE,2,7,14,0,100,Darius,Xin Zhao,LeBlanc,Lucian,Neeko,Mordekaiser,Evelynn,Qiyana,Xayah,Rakan
2,SLztD3Uo6O6JW4d4qfvs66wMTqToBMyWpy7_ZZv8NoeiOZ4,0,246,Qiyana,466,466,9432,5,9.13.280.4632,7380,0.4,0,360,4103740885,1,1627,0,0,0,4,7582,7,7943,18205,0,142,0,JUNGLE,2,11,17,0,100,Sejuani,Qiyana,Yasuo,Kai'Sa,Karma,Sylas,Volibear,Lux,Caitlyn,Sona
3,SLztD3Uo6O6JW4d4qfvs66wMTqToBMyWpy7_ZZv8NoeiOZ4,9,64,Lee Sin,12241,1438,65169,11,9.11.275.6613,16471,2.1818181818181817,9,2880,4060900211,2,3015,104,4,63,9,16730,22,20740,57815,14377,60,1130,JUNGLE,5,16,37,1,200,Camille,Lee Sin,Malzahar,Sivir,Nami,Quinn,Jax,Yasuo,Jhin,Veigar
4,U2JcP_IWKgwGXvm3EddNFdyC0uv-uNG1qqt_bRwVdV3feP1FQu4SDgqS,8,222,Jinx,41518,5694,18630,10,9.6.268.2663,19579,1.8,8,1126,3981119656,0,1330,36,1,19,7,22406,28,24773,26169,4068,149,1240,JUNGLE,1,14,23,0,200,Twitch,Kassadin,Bard,Renekton,Lux,Galio,Zyra,Ashe,Xayah,Janna
5,U2JcP_IWKgwGXvm3EddNFdyC0uv-uNG1qqt_bRwVdV3feP1FQu4SDgqS,7,18,Tristana,19739,10845,5803,15,9.6.268.2663,16021,1.0,7,10124,3976770397,0,1250,19,2,12,2,8376,7,20810,25296,3314,80,2309,JUNGLE,0,7,13,1,100,Kennen,Draven,Cho'Gath,Twisted Fate,Yorick,Sylas,Akali,Twitch,Shyvana,Blitzcrank
6,U2JcP_IWKgwGXvm3EddNFdyC0uv-uNG1qqt_bRwVdV3feP1FQu4SDgqS,17,79,Gragas,21347,3316,21417,11,9.6.268.2663,20265,2.8181818181818183,17,42600,3976368947,4,1300,77,15,52,6,1894,39,46895,36967,10059,81,2400,JUNGLE,2,23,33,0,200,Sejuani,Renekton,Jayce,Xerath,Leona,Maokai,Bard,Sivir,Shyvana,Blitzcrank
7,U2JcP_IWKgwGXvm3EddNFdyC0uv-uNG1qqt_bRwVdV3feP1FQu4SDgqS,22,91,Talon,17867,6188,44814,13,9.6.267.4221,25149,3.3076923076923075,22,133,3974741743,0,1506,19,1,9,4,55329,7,59406,53596,23118,131,3943,JUNGLE,3,13,27,1,100,Sejuani,Talon,Veigar,Xerath,Leona,Kayle,Hecarim,Zed,Shyvana,Blitzcrank
8,U2JcP_IWKgwGXvm3EddNFdyC0uv-uNG1qqt_bRwVdV3feP1FQu4SDgqS,4,17,Teemo,11598,11598,9126,17,9.6.267.4221,17777,1.0,4,26936,3972312956,0,1432,4,0,4,2,1119,61,30085,34963,181,146,2028,JUNGLE,1,9,14,1,100,Volibear,Teemo,Sylas,Orianna,Tristana,Volibear,Lee Sin,Diana,Shyvana,Blitzcrank
9,wbRz1Gqg-pEYBOvhIWwDhuMlalqUJa4gL-tir-kzOeFslP5lzac4Z1z2,8,164,Camille,12009,590,21752,7,9.3.261.9578,11000,2.8571428571428568,8,281,3933196119,2,1577,104,0,77,6,13918,24,17178,29824,11748,38,2978,JUNGLE,1,5,14,1,200,Sylas,Camille,Veigar,Vayne,Bard,Jax,Graves,Anivia,Lucian,Lux
