,account_id,assists,champion_id,champion_name,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,game_version,goldEarned,kda,kills,magicDamageDealtToChampions,match_id,match_rank_score,max_time,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,participantId,physicalDamageDealtToChampions,timeCCingOthers,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,trueDamageDealtToChampions,true_role,wardsKilled,wardsPlaced,visionScore,win,team_id,playerTop,playerJung,playerMid,playerADC,playerSupp,oppTop,oppJung,oppMid,oppADC,oppSupp
0,SLztD3Uo6O6JW4d4qfvs66wMTqToBMyWpy7_ZZv8NoeiOZ4,4,115,Ziggs,4528,3778,10645,8,9.12.277.6038,10943,2.0,4,25004,4064615068,0,2171,0,0,0,6,933,18,25937,25308,4660,156,0,MIDDLE,3,11,26,0,200,Akali,Shyvana,Ziggs,Ezreal,Lulu,Kassadin,Hecarim,Ryze,Jhin,Lux
1,U2JcP_IWKgwGXvm3EddNFdyC0uv-uNG1qqt_bRwVdV3feP1FQu4SDgqS,18,84,Akali,7525,5332,14174,4,9.7.269.2391,15770,6.25,18,23139,3998038080,0,1739,4,4,0,7,6609,7,31010,25445,11504,190,1262,MIDDLE,0,10,16,1,200,Gnar,Kayn,Akali,Miss Fortune,Nami,Nasus,Jarvan IV,Orianna,Jinx,Brand
2,U2JcP_IWKgwGXvm3EddNFdyC0uv-uNG1qqt_bRwVdV3feP1FQu4SDgqS,6,517,Sylas,39849,14701,37719,16,9.6.267.4221,19243,0.875,6,19181,3973554673,0,1478,28,12,8,5,79,14,23016,31669,2262,116,3756,MIDDLE,0,12,23,1,100,Nocturne,Malphite,Sylas,Orianna,Tristana,Vel'Koz,Quinn,Kennen,Shyvana,Blitzcrank
3,wbRz1Gqg-pEYBOvhIWwDhuMlalqUJa4gL-tir-kzOeFslP5lzac4Z1z2,25,105,Fizz,9402,4956,9565,6,9.3.261.9578,15962,4.5,25,28972,3931408635,0,1583,9,1,4,8,4845,18,34944,21113,5281,146,1125,MIDDLE,1,7,12,1,200,Jax,Amumu,Fizz,Ezreal,Rakan,Sion,Shaco,Zoe,Ashe,Morgana
4,wbRz1Gqg-pEYBOvhIWwDhuMlalqUJa4gL-tir-kzOeFslP5lzac4Z1z2,17,157,Yasuo,10847,6736,26118,8,9.2.261.2172,15636,2.875,17,1827,3911608098,2,1620,4,1,0,7,26302,34,38234,28438,6682,196,10104,MIDDLE,0,8,13,1,200,Malphite,Xin Zhao,Yasuo,Caitlyn,Nautilus,Riven,Master Yi,Lux,Miss Fortune,Taric
5,vmW25-t56N77xQDdl71oTQBtKKccJxn_IWuzp8Y5lk9ftg,5,105,Fizz,0,0,5859,8,9.13.280.4632,6038,0.875,5,4711,4104891652,2,1228,0,0,0,1,2270,5,7360,15469,1375,47,378,MIDDLE,0,4,3,0,100,Camille,Shaco,Fizz,Caitlyn,Morgana,Volibear,Lee Sin,Katarina,Heimerdinger,Yuumi
6,vmW25-t56N77xQDdl71oTQBtKKccJxn_IWuzp8Y5lk9ftg,6,96,Kog'Maw,2664,2664,4362,5,9.13.280.4632,9925,2.8,6,12243,4104696247,2,1441,0,0,0,8,846,7,13865,10754,1356,146,775,MIDDLE,1,4,9,1,200,Nasus,Hecarim,Kog'Maw,Ezreal,Pyke,Volibear,Qiyana,Ekko,Xayah,Vel'Koz
7,vmW25-t56N77xQDdl71oTQBtKKccJxn_IWuzp8Y5lk9ftg,7,517,Sylas,2715,1304,6661,1,9.13.280.4632,8384,12.0,7,11398,4104660849,2,1276,2,2,0,6,423,17,12502,11520,4081,109,680,MIDDLE,0,6,10,1,200,Kayle,Karthus,Sylas,Ezreal,Pyke,Qiyana,Kayn,Veigar,Ashe,Alistar
8,vmW25-t56N77xQDdl71oTQBtKKccJxn_IWuzp8Y5lk9ftg,7,157,Yasuo,2241,2241,10021,2,9.13.280.4632,8712,4.0,7,1156,4103118631,2,1298,4,4,0,2,9020,13,11494,10274,2081,139,1316,MIDDLE,1,7,12,1,100,Garen,Rammus,Yasuo,Ezreal,Thresh,Gangplank,Kha'Zix,Kennen,Kai'Sa,Janna
9,vmW25-t56N77xQDdl71oTQBtKKccJxn_IWuzp8Y5lk9ftg,15,245,Ekko,9706,2082,35501,14,9.12.277.6038,18893,1.7142857142857142,15,36010,4077518629,2,2900,4,0,4,4,3221,14,41322,58946,20572,190,2089,MIDDLE,3,9,18,1,100,Riven,Hecarim,Ekko,Sivir,Leona,Tahm Kench,Kindred,Ahri,Lucian,Lux
10,vmW25-t56N77xQDdl71oTQBtKKccJxn_IWuzp8Y5lk9ftg,5,245,Ekko,4621,918,14037,7,9.12.277.6038,10310,2.142857142857143,5,13171,4071968478,2,2057,4,0,0,1,1642,6,15266,30232,9123,114,452,MIDDLE,1,10,16,1,100,Riven,Nocturne,Ekko,Kai'Sa,Karma,Shen,Kha'Zix,Jayce,Jinx,Zyra
11,vmW25-t56N77xQDdl71oTQBtKKccJxn_IWuzp8Y5lk9ftg,3,245,Ekko,0,0,8950,4,9.12.277.6038,8156,1.75,3,11551,4071056639,2,1556,0,0,0,7,1404,10,13638,17341,3678,133,682,MIDDLE,1,6,10,0,200,Illaoi,Lee Sin,Ekko,Kindred,Galio,Fiora,Kayn,Vel'Koz,Caitlyn,Blitzcrank
