account_id,assists,champion_id,champion_name,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,game_version,goldEarned,kda,kills,magicDamageDealtToChampions,match_id,match_rank_score,max_time,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,participantId,physicalDamageDealtToChampions,timeCCingOthers,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,trueDamageDealtToChampions,true_role,wardsKilled,wardsPlaced,visionScore,win,team_id,playerTop,playerJung,playerMid,playerADC,playerSupp,oppTop,oppJung,oppMid,oppADC,oppSupp
SLztD3Uo6O6JW4d4qfvs66wMTqToBMyWpy7_ZZv8NoeiOZ4,4,12,Alistar,2484,2484,58660,10,9.12.277.6038,13174,3.6,4,10384,4063736187,1,2464,0,0,0,1,1905,66,12780,50762,28571,65,490,DUO_SUPPORT,8,18,57,1,100,Darius,Pantheon,Veigar,Yasuo,Alistar,Mordekaiser,Lee Sin,Ahri,Sivir,Lux
SLztD3Uo6O6JW4d4qfvs66wMTqToBMyWpy7_ZZv8NoeiOZ4,1,25,Morgana,1369,675,7941,4,9.11.275.6613,8372,3.5,1,9094,4061965316,1,1672,0,0,0,3,584,73,9818,14389,2601,16,139,DUO_SUPPORT,4,21,50,1,100,Irelia,Amumu,Ryze,Sivir,Morgana,Kayle,Warwick,Lucian,Ezreal,Brand
wbRz1Gqg-pEYBOvhIWwDhuMlalqUJa4gL-tir-kzOeFslP5lzac4Z1z2,2,63,Brand,556,556,6716,9,9.3.261.9578,6616,0.5555555555555556,2,12402,3933003623,2,1535,0,0,0,9,384,15,13487,18016,0,35,700,DUO_SUPPORT,0,9,13,0,200,Sion,Kayn,Ziggs,Jhin,Brand,Garen,Amumu,Lux,Varus,Nami
wbRz1Gqg-pEYBOvhIWwDhuMlalqUJa4gL-tir-kzOeFslP5lzac4Z1z2,8,63,Brand,10441,4860,7029,8,9.3.261.9578,10869,2.25,8,19908,3932956014,2,1620,8,4,0,3,783,36,21335,18730,759,30,644,DUO_SUPPORT,0,22,32,1,100,Tryndamere,Sejuani,Veigar,Jhin,Brand,Riven,Kayn,Zyra,Twitch,Sona
wbRz1Gqg-pEYBOvhIWwDhuMlalqUJa4gL-tir-kzOeFslP5lzac4Z1z2,10,63,Brand,12831,1073,14674,11,9.2.261.2172,15877,2.5454545454545454,10,37506,3918462973,2,2717,36,7,17,6,1049,35,40538,39297,4577,34,1982,DUO_SUPPORT,5,32,54,1,200,Sylas,Amumu,Lux,Draven,Brand,Darius,Master Yi,Ahri,Jinx,Morgana
wbRz1Gqg-pEYBOvhIWwDhuMlalqUJa4gL-tir-kzOeFslP5lzac4Z1z2,5,14,Sion,2171,949,42408,10,9.2.261.2172,8428,1.3,5,2548,3917431179,2,1814,0,0,0,1,12475,42,16762,37793,4139,63,1738,DUO_SUPPORT,1,15,23,0,100,Nasus,Pyke,Vel'Koz,Ashe,Sion,Nasus,Shaco,Ekko,Vayne,Nautilus
wbRz1Gqg-pEYBOvhIWwDhuMlalqUJa4gL-tir-kzOeFslP5lzac4Z1z2,12,63,Brand,1436,1436,7336,8,9.2.261.2172,12155,3.5,12,28310,3916815886,2,1752,8,0,8,4,1621,51,31226,21006,1388,34,1294,DUO_SUPPORT,0,24,33,1,100,Tahm Kench,Dr. Mundo,Zed,Ezreal,Brand,Pyke,Rammus,Sylas,Kai'Sa,Janna
wbRz1Gqg-pEYBOvhIWwDhuMlalqUJa4gL-tir-kzOeFslP5lzac4Z1z2,0,35,Shaco,0,0,12843,18,9.2.261.2172,10670,0.5,0,3036,3914976433,2,1260,4,4,0,2,4304,18,8065,35437,3530,18,725,DUO_SUPPORT,0,1,1,1,100,Urgot,Diana,Lulu,Malphite,Shaco,Jinx,Karthus,Cassiopeia,Miss Fortune,Zyra
wbRz1Gqg-pEYBOvhIWwDhuMlalqUJa4gL-tir-kzOeFslP5lzac4Z1z2,7,78,Poppy,1392,617,44261,23,9.2.261.2172,15344,1.173913043478261,7,1298,3914938326,2,1419,0,0,0,8,13915,32,18143,53035,8740,12,2929,DUO_SUPPORT,0,0,0,0,200,Blitzcrank,Diana,Lulu,Quinn,Poppy,Jinx,Kha'Zix,Cassiopeia,Miss Fortune,Zyra
wbRz1Gqg-pEYBOvhIWwDhuMlalqUJa4gL-tir-kzOeFslP5lzac4Z1z2,11,63,Brand,11640,360,8307,12,9.2.261.2172,13486,2.5,11,32552,3913528451,2,2109,4,0,4,3,1524,43,35559,25768,546,53,1482,DUO_SUPPORT,3,27,51,0,100,Nasus,Xin Zhao,Veigar,Ashe,Brand,Vladimir,Jarvan IV,Katarina,Jhin,Leona
