,account_id,assists,champion_id,champion_name,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,game_version,goldEarned,kda,kills,magicDamageDealtToChampions,match_id,match_rank_score,max_time,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,participantId,physicalDamageDealtToChampions,timeCCingOthers,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,trueDamageDealtToChampions,true_role,wardsKilled,wardsPlaced,visionScore,win,team_id,playerTop,playerJung,playerMid,playerADC,playerSupp,oppTop,oppJung,oppMid,oppADC,oppSupp
0,SLztD3Uo6O6JW4d4qfvs66wMTqToBMyWpy7_ZZv8NoeiOZ4,9,246,Qiyana,10079,10079,16334,4,9.13.280.4632,13663,3.25,9,744,4103590888,1,1808,12,4,4,5,15801,17,16764,21599,1517,178,218,TOP,4,10,21,1,100,Qiyana,Rengar,Swain,Twitch,Zac,Maokai,Evelynn,Kayle,Miss Fortune,Braum
1,SLztD3Uo6O6JW4d4qfvs66wMTqToBMyWpy7_ZZv8NoeiOZ4,6,10,Kayle,4924,4924,8649,7,9.12.277.6038,10384,2.2857142857142856,6,13009,4064542390,1,1452,4,4,0,1,5019,11,18180,18274,7110,121,152,TOP,1,9,15,1,100,Kayle,Master Yi,Neeko,Caitlyn,Morgana,Tahm Kench,Xin Zhao,Irelia,Sivir,Lux
2,SLztD3Uo6O6JW4d4qfvs66wMTqToBMyWpy7_ZZv8NoeiOZ4,5,82,Mordekaiser,2823,2823,17977,4,9.12.277.6038,10335,1.25,5,14729,4064172658,1,1713,1,0,1,8,3039,14,18182,19307,3754,169,413,TOP,1,10,19,0,200,Mordekaiser,Jax,Galio,Miss Fortune,Thresh,Tryndamere,Amumu,Katarina,Tristana,Leona
3,SLztD3Uo6O6JW4d4qfvs66wMTqToBMyWpy7_ZZv8NoeiOZ4,5,43,Karma,3252,2137,15921,0,9.12.277.6038,11729,22.0,5,14450,4063889058,1,1716,2,0,0,3,6055,37,20581,13106,5134,159,75,TOP,3,11,19,1,100,Karma,Shyvana,Zyra,Miss Fortune,Pyke,Tryndamere,Jax,Lux,Kai'Sa,Yuumi
4,SLztD3Uo6O6JW4d4qfvs66wMTqToBMyWpy7_ZZv8NoeiOZ4,1,41,Gangplank,257,257,17721,10,9.12.277.6038,7970,1.1,1,2986,4063649192,1,1718,0,0,0,9,8809,11,12338,26571,5569,132,542,TOP,1,11,18,0,200,Gangplank,Hecarim,Annie,Lucian,Nautilus,Mordekaiser,Lee Sin,LeBlanc,Sivir,Blitzcrank
5,SLztD3Uo6O6JW4d4qfvs66wMTqToBMyWpy7_ZZv8NoeiOZ4,9,266,Aatrox,2996,2307,29822,7,9.11.275.6613,12456,2.142857142857143,9,0,4062078841,1,1771,0,0,0,6,21577,24,22497,34127,12684,192,919,TOP,2,10,25,0,200,Aatrox,Kayn,Cassiopeia,Ezreal,Rakan,Jax,Sejuani,Yasuo,Lucian,Pyke
6,SLztD3Uo6O6JW4d4qfvs66wMTqToBMyWpy7_ZZv8NoeiOZ4,4,78,Poppy,6798,3651,23742,2,9.11.275.6613,10271,5.5,4,3580,4062020345,1,1632,4,0,4,5,11216,28,14797,16510,3770,147,1,TOP,2,8,26,1,100,Poppy,Master Yi,Ryze,Sivir,Morgana,Jax,Amumu,LeBlanc,Jinx,Leona
7,SLztD3Uo6O6JW4d4qfvs66wMTqToBMyWpy7_ZZv8NoeiOZ4,2,50,Swain,2608,2460,21664,6,9.11.275.6613,8395,2.3333333333333335,2,12003,4060983615,1,1726,1,1,0,9,2630,38,14820,26731,10363,108,186,TOP,2,8,15,1,200,Swain,Quinn,Lux,Caitlyn,Lee Sin,Kayle,Hecarim,Lucian,Ezreal,Brand
8,SLztD3Uo6O6JW4d4qfvs66wMTqToBMyWpy7_ZZv8NoeiOZ4,5,39,Irelia,999,999,12326,6,9.11.275.6613,8985,1.3333333333333333,5,2740,4060911598,1,1511,7,0,3,5,6445,8,9751,21739,4209,149,565,TOP,2,9,20,0,100,Irelia,Jax,Sylas,Jhin,Yuumi,Malphite,Sejuani,Vel'Koz,Kai'Sa,Lux
9,SLztD3Uo6O6JW4d4qfvs66wMTqToBMyWpy7_ZZv8NoeiOZ4,2,150,Gnar,8659,2214,17285,6,9.11.275.6613,12173,1.8333333333333333,2,4854,4060693240,1,2224,24,0,14,2,20570,52,25458,34111,7151,191,34,TOP,2,12,37,0,100,Gnar,Wukong,Syndra,Draven,Fizz,Garen,Master Yi,LeBlanc,Kai'Sa,Brand
10,U2JcP_IWKgwGXvm3EddNFdyC0uv-uNG1qqt_bRwVdV3feP1FQu4SDgqS,10,74,Heimerdinger,11219,8966,14830,9,9.13.280.4632,14652,2.0,10,43570,4110422862,0,2020,0,0,0,8,1330,37,45807,29245,7466,196,905,TOP,0,8,12,1,200,Heimerdinger,Vi,Brand,Kog'Maw,Lulu,Cho'Gath,Jarvan IV,Syndra,Ezreal,Xerath
